district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Centralia School District (WA),1.0,2024-25,0.11,3313.0,192.0,191.61
Chehalis School District (WA),1.0,2015-16,0.11,3026.0,167.0,167.38
Chehalis School District (WA),1.0,2016-17,0.11,3068.0,172.0,171.68
Chehalis School District (WA),0.0,2017-18,0.0,,,175.12
Chehalis School District (WA),0.0,2018-19,0.0,,,177.03
Chehalis School District (WA),1.0,2019-20,0.13,3259.0,173.0,173.41
Chehalis School District (WA),0.0,2020-21,0.0,,,175.71
Chehalis School District (WA),0.0,2021-22,0.0,,,166.62
Chehalis School District (WA),0.0,2022-23,0.0,,,173.0
Chehalis School District (WA),0.0,2023-24,,,,173.64
Chehalis School District (WA),0.0,2024-25,,,,170.51
Cheney School District (WA),4.0,2015-16,0.33,1139.0,65.0,259.93
Cheney School District (WA),3.88,2016-17,0.32,1210.0,68.0,263.82
Cheney School District (WA),4.5,2017-18,0.38,1077.0,63.0,282.95
Cheney School District (WA),4.5,2018-19,0.38,1142.0,64.0,286.89
Cheney School District (WA),3.07,2019-20,0.26,1716.0,100.0,308.06
Cheney School District (WA),3.25,2020-21,0.27,1562.0,92.0,297.86
Cheney School District (WA),2.25,2021-22,0.19,2381.0,137.0,308.6
Cheney School District (WA),1.45,2022-23,0.12,3821.0,225.0,326.0
Cheney School District (WA),1.45,2023-24,0.11,3902.0,227.0,329.78
Cheney School District (WA),1.38,2024-25,0.11,4103.0,240.0,331.01
Chewelah School District (WA),0.0,2015-16,0.0,,,47.42
Chewelah School District (WA),0.0,2016-17,0.0,,,46.41
Chewelah School District (WA),0.0,2017-18,0.0,,,44.58
Chewelah School District (WA),0.0,2018-19,0.0,,,44.53
Chewelah School District (WA),0.0,2019-20,0.0,,,43.53
Chewelah School District (WA),0.0,2020-21,0.0,,,43.73
Chewelah School District (WA),0.0,2021-22,0.0,,,45.52
Chewelah School District (WA),0.0,2022-23,0.0,,,48.0
Chewelah School District (WA),0.0,2023-24,,,,49.56
Chewelah School District (WA),0.0,2024-25,,,,48.53
Chimacum School District (WA),1.0,2015-16,0.17,1089.0,55.0,54.83
Chimacum School District (WA),1.0,2016-17,0.17,1064.0,59.0,59.31
Chimacum School District (WA),0.8,2017-18,0.13,1233.0,70.0,56.12
Chimacum School District (WA),0.8,2018-19,0.13,1095.0,63.0,50.69
Chimacum School District (WA),0.8,2019-20,0.16,1044.0,62.0,49.56
Chimacum School District (WA),0.8,2020-21,0.16,916.0,55.0,43.62
Chimacum School District (WA),1.0,2021-22,0.2,715.0,41.0,41.0
Chimacum School District (WA),1.0,2022-23,0.2,717.0,44.0,44.0
Chimacum School District (WA),1.0,2023-24,0.2,722.0,47.0,47.18
Chimacum School District (WA),1.0,2024-25,0.2,704.0,45.0,44.69
Clarkston School District (WA),1.4,2015-16,0.14,1919.0,104.0,146.04
Clarkston School District (WA),1.6,2016-17,0.18,1704.0,92.0,146.56
Clarkston School District (WA),1.62,2017-18,0.18,1673.0,93.0,150.36
Clarkston School District (WA),1.62,2018-19,0.18,1648.0,93.0,150.45
Clarkston School District (WA),0.0,2019-20,0.0,,,146.59
Clarkston School District (WA),0.0,2020-21,0.0,,,136.35
Clarkston School District (WA),0.0,2021-22,0.0,,,143.44
Clarkston School District (WA),0.0,2022-23,0.0,,,142.0
Clarkston School District (WA),0.0,2023-24,,,,143.4
Clarkston School District (WA),0.0,2024-25,,,,137.47
Cle Elum-Roslyn School District (WA),0.0,2015-16,0.0,,,52.75
Cle Elum-Roslyn School District (WA),0.0,2016-17,0.0,,,52.54
Cle Elum-Roslyn School District (WA),0.0,2017-18,0.0,,,52.54
Cle Elum-Roslyn School District (WA),0.0,2018-19,0.0,,,53.33
Cle Elum-Roslyn School District (WA),0.0,2019-20,0.0,,,52.97
Cle Elum-Roslyn School District (WA),0.0,2020-21,0.0,,,54.24
Cle Elum-Roslyn School District (WA),0.0,2021-22,0.0,,,50.88
Cle Elum-Roslyn School District (WA),0.0,2022-23,0.0,,,56.0
Cle Elum-Roslyn School District (WA),0.0,2023-24,,,,50.57
Cle Elum-Roslyn School District (WA),0.0,2024-25,,,,54.62
Clover Park School District (WA),23.0,2015-16,0.7,557.0,31.0,723.42
Clover Park School District (WA),23.0,2016-17,0.7,573.0,31.0,723.04
Clover Park School District (WA),23.0,2017-18,0.7,577.0,32.0,746.43
Clover Park School District (WA),23.0,2018-19,0.7,591.0,33.0,761.14
Clover Park School District (WA),17.9,2019-20,0.54,769.0,44.0,782.75
Clover Park School District (WA),17.88,2020-21,0.56,702.0,41.0,726.57
Clover Park School District (WA),16.02,2021-22,0.5,788.0,43.0,692.5
Clover Park School District (WA),18.46,2022-23,0.58,681.0,40.0,745.0
Clover Park School District (WA),18.73,2023-24,0.57,662.0,41.0,764.74
Clover Park School District (WA),18.05,2024-25,0.55,684.0,44.0,790.88
Colfax School District (WA),0.5,2015-16,0.25,1200.0,68.0,34.0
Colfax School District (WA),0.5,2016-17,0.25,1208.0,68.0,34.09
Colfax School District (WA),0.0,2017-18,0.0,,,35.09
Colfax School District (WA),0.0,2018-19,0.0,,,35.09
Colfax School District (WA),0.0,2019-20,0.0,,,34.34
Colfax School District (WA),0.0,2020-21,0.0,,,34.7
Colfax School District (WA),0.0,2021-22,0.0,,,34.79
Colfax School District (WA),0.0,2022-23,0.0,,,35.0
Colfax School District (WA),0.0,2023-24,,,,35.17
Colfax School District (WA),0.0,2024-25,,,,34.17
College Place School District (WA),2.0,2015-16,0.67,601.0,38.0,75.13
College Place School District (WA),2.0,2016-17,0.67,677.0,42.0,83.17
College Place School District (WA),2.0,2017-18,0.67,723.0,41.0,82.21
College Place School District (WA),1.0,2018-19,0.33,1465.0,85.0,85.47
